V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101
-0.373934493,-0.354900852,-0.345054617,-0.361569736,-0.351346867,-0.343515982,-0.332430089,-0.321979016,-0.364197281,-0.336434899,-0.362185342,-0.287883178,-0.31825786,-0.313357427,-0.327390702,-0.332685762,-0.294547082,-0.325339331,-0.316356769,-0.292699396,-0.313384455,-0.297610308,-0.327988322,-0.330362066,-0.307609908,-0.299224578,-0.310312344,-0.315812021,-0.302242401,-0.317855156,-0.317231732,-0.274072251,-0.29756937,-0.24958505,-0.263624188,-0.279013515,-0.264744431,-0.272493302,-0.252495687,-0.257030184,-0.280681379,-0.259064672,-0.253973089,-0.267105959,-0.243152263,-0.252956343,-0.271988786,-0.266398089,-0.236888002,-0.265046027,-0.222707222,-0.261677361,-0.245806075,-0.269955368,-0.25877098,-0.233881437,-0.260437794,-0.234345974,-0.248046675,-0.234373502,-0.246649096,-0.250075112,-0.245263351,-0.213003937,-0.220249798,-0.208979998,-0.224957021,-0.194060423,-0.19583154,-0.188891248,-0.203317386,-0.185573308,-0.199570664,-0.220495212,-0.195216803,-0.201355791,-0.20038999,-0.181635781,-0.170213602,-0.20465861,-0.179544919,-0.164221632,-0.217946797,-0.199189261,-0.18534275,-0.154565461,-0.16992128,-0.194510008,-0.17149537,-0.192355065,-0.175090837,-0.184918495,-0.150187993,-0.177261637,-0.134660239,-0.16733461,-0.156354805,-0.126937266,-0.171142034,-0.147954549,-0.158473315
-0.296717596,-0.338516696,-0.32268119,-0.33383877,-0.353819921,-0.345567857,-0.334559088,-0.32368316,-0.364262208,-0.359042364,-0.310592795,-0.309772596,-0.347533274,-0.309733895,-0.323927263,-0.307266406,-0.309929467,-0.319350953,-0.322528991,-0.304419727,-0.314872685,-0.293527021,-0.300453506,-0.317785447,-0.318942614,-0.273236421,-0.294118512,-0.278993605,-0.312654742,-0.303509154,-0.275260027,-0.313151826,-0.270964287,-0.273354591,-0.268390803,-0.261024787,-0.250410291,-0.271667432,-0.254881323,-0.298565645,-0.247035856,-0.229616046,-0.278765595,-0.266550962,-0.260669904,-0.253963538,-0.257915413,-0.254338144,-0.249637866,-0.266200583,-0.227514539,-0.247154031,-0.252105985,-0.243814576,-0.252707926,-0.248532361,-0.235780438,-0.206401194,-0.245023758,-0.220437237,-0.240058041,-0.204461419,-0.209466111,-0.221699478,-0.232856658,-0.216701077,-0.21483139,-0.207588548,-0.207764723,-0.197529746,-0.214094052,-0.197800409,-0.222641657,-0.174762999,-0.206345988,-0.201667258,-0.182698971,-0.196372932,-0.172315533,-0.16723937,-0.180695922,-0.195797753,-0.174951493,-0.175499208,-0.192447798,-0.203203835,-0.163317454,-0.153940177,-0.154133485,-0.16296842,-0.187070925,-0.194745613,-0.147346789,-0.15649926,-0.179412133,-0.143987358,-0.168166364,-0.160163715,-0.162834121,-0.136364615,-0.173465749
-0.391489661,-0.313963157,-0.28177626,-0.315535907,-0.333061704,-0.306507267,-0.345246206,-0.381107176,-0.316124026,-0.361457313,-0.299082606,-0.341852082,-0.304679985,-0.321880215,-0.320836392,-0.302210849,-0.302470648,-0.326801798,-0.305537803,-0.314586709,-0.28156139,-0.298524573,-0.297006021,-0.282883524,-0.281373256,-0.308940216,-0.307695145,-0.281060896,-0.29302626,-0.313871215,-0.296934038,-0.275676777,-0.311283329,-0.274054937,-0.284697654,-0.259081808,-0.251567014,-0.267251289,-0.253495271,-0.261624423,-0.225876125,-0.274373948,-0.265082931,-0.272060386,-0.283843312,-0.25701403,-0.234164826,-0.235158617,-0.254066885,-0.264141646,-0.228728302,-0.23617551,-0.220208449,-0.229228191,-0.231665488,-0.23378702,-0.236962835,-0.223133507,-0.213151413,-0.233840281,-0.215060775,-0.235698656,-0.241969145,-0.218831646,-0.208952319,-0.204156154,-0.191668166,-0.174292403,-0.201697762,-0.201895178,-0.20750017,-0.208363085,-0.195450312,-0.168272274,-0.196044332,-0.222452822,-0.209180827,-0.180473166,-0.177116502,-0.18202151,-0.194265793,-0.1691293,-0.196885563,-0.199800964,-0.153699753,-0.126844982,-0.143380934,-0.166552749,-0.155343127,-0.158168749,-0.1369838,-0.135387571,-0.168756502,-0.156925373,-0.167614959,-0.142566523,-0.137361366,-0.16708182,-0.171089798,-0.157505348,-0.129027034
-0.328124371,-0.339389364,-0.352259128,-0.338737968,-0.34550281,-0.318451545,-0.337349619,-0.358336477,-0.335371575,-0.306168942,-0.297734589,-0.307598345,-0.318049459,-0.319454785,-0.335761072,-0.296340252,-0.306864933,-0.2865566,-0.288190324,-0.325647427,-0.307339453,-0.287768074,-0.307027969,-0.294425242,-0.302861756,-0.297992889,-0.293477099,-0.311788136,-0.262640145,-0.306845655,-0.249717808,-0.280729288,-0.285630615,-0.245415105,-0.276994552,-0.27120768,-0.258884683,-0.240985088,-0.291740094,-0.285491021,-0.258460393,-0.27414112,-0.226806932,-0.236056606,-0.239458638,-0.237651,-0.246712642,-0.258200655,-0.259248751,-0.220900667,-0.259958714,-0.249639553,-0.252273154,-0.229492091,-0.238623344,-0.177455723,-0.212616997,-0.231045869,-0.22645246,-0.20017928,-0.239878736,-0.202376532,-0.226419248,-0.208212667,-0.23815437,-0.196818004,-0.216519846,-0.18792336,-0.216381244,-0.208392491,-0.178297585,-0.198334646,-0.162595359,-0.197413451,-0.200748046,-0.183612199,-0.213484651,-0.190118625,-0.172961452,-0.214103419,-0.177885469,-0.203795391,-0.173193355,-0.131532696,-0.180322864,-0.195871128,-0.160840721,-0.169424928,-0.188777689,-0.146235521,-0.136888057,-0.163129465,-0.149816683,-0.183769353,-0.148586582,-0.161967022,-0.168160582,-0.157625746,-0.141855441,-0.101195313,-0.142169721
-0.331758528,-0.333914542,-0.3019984,-0.343826425,-0.303859571,-0.321720389,-0.346187936,-0.310480189,-0.322650856,-0.313796972,-0.33346216,-0.329662162,-0.285762282,-0.321751497,-0.303169122,-0.340340739,-0.317364939,-0.314205797,-0.318038376,-0.315764887,-0.303366761,-0.298897388,-0.284555833,-0.310873563,-0.255614558,-0.277437643,-0.266658915,-0.284963418,-0.277910123,-0.276174501,-0.309271324,-0.278322917,-0.294500245,-0.273475684,-0.300217104,-0.30479468,-0.257287561,-0.301423021,-0.255173168,-0.293821044,-0.22206598,-0.270432239,-0.242805678,-0.247943809,-0.255357814,-0.2505126,-0.271157075,-0.276967478,-0.209809634,-0.227411057,-0.222946032,-0.241037399,-0.231109421,-0.237431609,-0.243055932,-0.202135633,-0.237235812,-0.217897877,-0.228632812,-0.233739325,-0.228743842,-0.228492189,-0.232637834,-0.241779563,-0.211191846,-0.20661566,-0.193271388,-0.224157181,-0.180028166,-0.182630289,-0.208572901,-0.193626267,-0.207362122,-0.178360314,-0.167463303,-0.179696618,-0.190193349,-0.163884393,-0.205681663,-0.217028291,-0.177390223,-0.191212002,-0.211055185,-0.16776835,-0.160452602,-0.15288758,-0.157910106,-0.15157695,-0.168428453,-0.187179111,-0.157587437,-0.170778247,-0.171210214,-0.182242926,-0.110414283,-0.148499498,-0.156665098,-0.151519746,-0.124530695,-0.139578035,-0.127197292
-0.345450436,-0.312425617,-0.326194692,-0.340342406,-0.331595013,-0.323264031,-0.322340019,-0.321112005,-0.315377139,-0.326674372,-0.321622068,-0.335188254,-0.295470999,-0.32751393,-0.309223574,-0.338160198,-0.32299197,-0.274152447,-0.302615274,-0.277332977,-0.323597304,-0.271218075,-0.282210121,-0.284213126,-0.258165102,-0.294546249,-0.296072145,-0.265592788,-0.27886466,-0.276720817,-0.262491368,-0.254333407,-0.247909349,-0.260217297,-0.23988047,-0.279403478,-0.258273902,-0.237402863,-0.24991273,-0.288200086,-0.247679689,-0.251321697,-0.234628291,-0.246114419,-0.259131578,-0.269256802,-0.239131615,-0.249718704,-0.245280986,-0.229721329,-0.237040681,-0.241653348,-0.241424932,-0.217463233,-0.232072955,-0.217286312,-0.217581894,-0.196080416,-0.200334529,-0.223325416,-0.235790912,-0.20228597,-0.223525088,-0.209315088,-0.198868829,-0.209704317,-0.200927037,-0.219532906,-0.211136736,-0.204572068,-0.19085686,-0.191488279,-0.173289368,-0.187236093,-0.187551301,-0.162031956,-0.234412442,-0.158019181,-0.191599264,-0.158299371,-0.178876675,-0.179713874,-0.182077197,-0.177286645,-0.157280302,-0.162114035,-0.11226059,-0.166655045,-0.179401039,-0.160672775,-0.139974144,-0.106591565,-0.139194925,-0.142156238,-0.15347969,-0.139394648,-0.139071428,-0.108698468,-0.138776231,-0.143589727,-0.100948433
-0.325705954,-0.335779766,-0.321273342,-0.335957205,-0.309371115,-0.309508189,-0.313417415,-0.29220689,-0.316029721,-0.316212806,-0.328036033,-0.333698659,-0.307279385,-0.308749634,-0.314982244,-0.354337564,-0.302102226,-0.306090689,-0.328021285,-0.292919264,-0.311252095,-0.305291806,-0.319916714,-0.269699351,-0.282803818,-0.274531623,-0.311977485,-0.277274789,-0.272451901,-0.295002369,-0.301607151,-0.285395103,-0.266655124,-0.283167581,-0.25120157,-0.281406623,-0.298336237,-0.265899905,-0.251311713,-0.266158473,-0.220923499,-0.247035637,-0.25999134,-0.214705329,-0.267264617,-0.244243595,-0.241683043,-0.254847352,-0.212056697,-0.23783798,-0.245965047,-0.222564461,-0.250113322,-0.198296441,-0.227453837,-0.239762985,-0.206212318,-0.233555255,-0.226342125,-0.201840731,-0.218875089,-0.216823299,-0.239070881,-0.171400837,-0.211973273,-0.192424686,-0.204798477,-0.173009781,-0.187376773,-0.176597147,-0.168874578,-0.165654031,-0.191518465,-0.170932628,-0.189372572,-0.15924316,-0.18204408,-0.188710261,-0.14123666,-0.175075157,-0.161208268,-0.157745839,-0.153053273,-0.140725873,-0.148971893,-0.160379505,-0.152850566,-0.124865945,-0.125486222,-0.141042948,-0.15651498,-0.142679452,-0.137727532,-0.149929059,-0.135342227,-0.147372533,-0.154674656,-0.167890736,-0.125453358,-0.140667591,-0.150199437
-0.356710585,-0.329877151,-0.319564086,-0.340734681,-0.350966317,-0.31548823,-0.35461337,-0.314876715,-0.304876398,-0.308126462,-0.323952708,-0.294921295,-0.294470701,-0.313574394,-0.296536508,-0.292609056,-0.32964184,-0.298951261,-0.304579091,-0.279736397,-0.272666608,-0.285157955,-0.275374943,-0.305669851,-0.310859832,-0.297838988,-0.297333981,-0.255868553,-0.264698972,-0.276902776,-0.289114528,-0.242988479,-0.283685735,-0.273829326,-0.263670135,-0.259527553,-0.255933154,-0.253017754,-0.216707981,-0.263679697,-0.268711653,-0.23689763,-0.273924826,-0.23081374,-0.252629537,-0.239977744,-0.260238238,-0.208389958,-0.217809798,-0.231294335,-0.196895838,-0.22337254,-0.226501002,-0.241284456,-0.214752486,-0.22955294,-0.237368833,-0.218356135,-0.206135712,-0.205888363,-0.211398885,-0.221053246,-0.237396951,-0.225309967,-0.21248597,-0.212576745,-0.196589706,-0.188337268,-0.191145281,-0.191141912,-0.190806574,-0.183215786,-0.195043324,-0.164657425,-0.202349028,-0.208205826,-0.203863974,-0.166908272,-0.153042279,-0.197439844,-0.152441644,-0.148766419,-0.136457527,-0.169900699,-0.159067287,-0.162696542,-0.154290629,-0.165466086,-0.167539257,-0.124872115,-0.118828679,-0.155634019,-0.10939452,-0.126355201,-0.125246084,-0.134099304,-0.129324291,-0.133740445,-0.131112393,-0.104461371,-0.127645973
-0.369913054,-0.328439196,-0.322798801,-0.34089443,-0.327923602,-0.322655155,-0.338514579,-0.313925336,-0.336605496,-0.294343162,-0.316694521,-0.302446507,-0.315008739,-0.334427324,-0.304730889,-0.309667893,-0.290736598,-0.305770717,-0.275831192,-0.316415148,-0.307046493,-0.278076655,-0.283857282,-0.285578993,-0.30988137,-0.269362137,-0.276543684,-0.268651419,-0.247276345,-0.289367589,-0.263613601,-0.288431134,-0.249722144,-0.2556994,-0.279504392,-0.263703374,-0.232680439,-0.227936779,-0.264967516,-0.254274905,-0.262063719,-0.24946371,-0.22233498,-0.229259964,-0.260863294,-0.226980737,-0.205011973,-0.205798154,-0.231676124,-0.23088849,-0.218928964,-0.268424688,-0.226576132,-0.229402682,-0.248948159,-0.214364496,-0.208286019,-0.19625768,-0.187801556,-0.194561999,-0.211846467,-0.172024498,-0.204553165,-0.211034609,-0.208584723,-0.210018759,-0.184139949,-0.168710288,-0.214360707,-0.209454398,-0.210489431,-0.163718038,-0.1750573,-0.159366274,-0.200651368,-0.196633445,-0.198073229,-0.187638269,-0.144057665,-0.148972764,-0.174660907,-0.169232011,-0.164868129,-0.176193757,-0.157263489,-0.107474884,-0.169049458,-0.166367946,-0.170889981,-0.129377538,-0.155168401,-0.129415017,-0.134434239,-0.124302908,-0.120104965,-0.110812318,-0.117965599,-0.146293995,-0.12082152,-0.110788561,-0.118462603
-0.341759799,-0.336772925,-0.327703889,-0.329103303,-0.317707314,-0.31466496,-0.360997785,-0.320938993,-0.299746318,-0.330810679,-0.30049614,-0.293043074,-0.297631232,-0.348822175,-0.287263801,-0.303080958,-0.306533599,-0.279426714,-0.286414006,-0.283390419,-0.286094037,-0.269139699,-0.306357265,-0.280752082,-0.257545735,-0.265862139,-0.277027725,-0.299733503,-0.259135946,-0.250783709,-0.253551819,-0.273804899,-0.272436261,-0.276020225,-0.256919759,-0.262132395,-0.251756769,-0.251526015,-0.254918607,-0.267991722,-0.246069708,-0.227972599,-0.26134664,-0.2282548,-0.238748396,-0.215362277,-0.225891661,-0.210005956,-0.206996466,-0.222667446,-0.220066929,-0.250407104,-0.227155644,-0.220058133,-0.220655576,-0.189847565,-0.216633483,-0.21612265,-0.20995738,-0.19343887,-0.239027,-0.205570196,-0.194620264,-0.182645637,-0.179834072,-0.210222663,-0.184351694,-0.156622361,-0.169902012,-0.175810724,-0.189795106,-0.177991611,-0.178338067,-0.143372876,-0.158532882,-0.15854972,-0.167538242,-0.155936163,-0.166014911,-0.1503427,-0.144481492,-0.142690475,-0.176456655,-0.175475692,-0.151859301,-0.148710389,-0.122038378,-0.143722027,-0.15214697,-0.162866217,-0.135619076,-0.110812954,-0.140285543,-0.149075802,-0.139642856,-0.121465304,-0.115212092,-0.114135019,-0.125437211,-0.093632862,-0.087445066
