Stock.ID,Species,Stock,Date data obtained,Date data incorporated,Ocean.Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID,Comment (we will update this later)
101,Sockeye,Washington,Mar-17,9/12/17,WC,WA,WA,WA,47.48,122.42,1,Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake.  
102,Sockeye,Early Stuart,Jul-17,9/12/17,WC,Fraser River,Fraser Early Stuart,BC,49.12,123.06,4,
103,Sockeye,Bowron,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,
104,Sockeye,Fennell,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,
105,Sockeye,Gates,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,Spawning channel 
106,Sockeye,Nadina,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,Spawning channel 
107,Sockeye,Pitt,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,Large hatchery influence that could not be separated out
108,Sockeye,Raft,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,
109,Sockeye,Scotch,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,
110,Sockeye,Seymour,Jul-17,9/12/17,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4,
111,Sockeye,Chilko,Jul-17,9/12/17,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4,Lake fertilization occurred in 1987 and 1989-1992
112,Sockeye,Late Stuart,Jul-17,9/12/17,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4,
113,Sockeye,Quesnel,Jul-17,9/12/17,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4,
114,Sockeye,Stellako,Jul-17,9/12/17,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4,
115,Sockeye,Birkenhead,Jul-17,9/12/17,WC,Fraser River,Fraser Late,BC,49.12,123.06,4,
116,Sockeye,Cultus,Jul-17,9/12/17,WC,Fraser River,Fraser Late,BC,49.12,123.06,4,Hatchery fish released starting in 2000
117,Sockeye,Harrison,Jul-17,9/12/17,WC,Fraser River,Fraser Late,BC,49.12,123.06,4,Fry go to sea at BY+1
118,Sockeye,Late Shuswap,Jul-17,9/12/17,WC,Fraser River,Fraser Late,BC,49.12,123.06,4,
119,Sockeye,Portage,Jul-17,9/12/17,WC,Fraser River,Fraser Late,BC,49.12,123.06,4,
120,Sockeye,Weaver,Jul-17,9/12/17,WC,Fraser River,Fraser Late,BC,49.12,123.06,4,Spawning channel present 
121,Sockeye,Great Central,Sep-17,9/13/17,WC,BC South,Barkley Sound,BC,49.24,124.82,9,
122,Sockeye,Sproat,Sep-17,9/13/17,WC,BC South,Barkley Sound,BC,49.24,124.82,9,
123,Sockeye,Long Lake,Sep-17,9/13/17,WC,BC Central,BC Central,BC,51.29,127.68,8,
124,Sockeye,Owikeno Lake,Sep-17,9/13/17,WC,BC Central,BC Central,BC,51.68,127.25,8,
125,Sockeye,Atnarko,,,WC,BC Central,BC Central,BC,52.38,126.78,,
126,Sockeye,Skeena,,,WC,BC North,BC North,BC,54.01,130.11,,
127,Sockeye,Nass,,,WC,BC North,BC North,BC,54.96,129.9,,
128,Sockeye,McDonald,,,WC,SEAK,SEAK,AK,55.85,131.75,,"Stock Recruit Analysis, 1979 - 2002 brood years."
129,Sockeye,Redoubt,8/22/17,9/13/17,WC,SEAK,SEAK,AK,56.9,135.33,2,"Dominant age classes estimated from escapement age; Used RR 1 sheet."
130,Sockeye,Speel,8/22/17,9/13/17,WC,SEAK,SEAK,AK,57.97,133.87,2,"Dominant age classes estimated from escapement age; missing values present. Sockeye hatchery nearby.  Some hatchery fry stocked.  Therefore excluded Speel"
131,Sockeye,Chilkoot,8/2/17,9/13/17,WC,SEAK,SEAK,AK,58.92,135.23,2,
132,Sockeye,Chilkat,,,WC,SEAK,SEAK,AK,58.92,135.23,,"Chilkat has has periodic fry stocking, so excluded.  Brood table is being updated but not available."
133,Sockeye,Klukshu,,,WC,Yakutat,Yakutat,AK,59.12,138.66,,
134,Sockeye,East Alsek,,,WC,Yakutat,Yakutat,AK,59.12,138.66,,Stock-recruit analysis for brood years 1972 to 1990; separate stock-recruit analysis for brood years 1991 to 1997.
135,Sockeye,Alsek,,,WC,Yakutat,Yakutat,AK,59.12,138.66,,"Stock-recruit analysis, using brood years 1976 to 1992"
136,Sockeye,Italio,,,WC,Yakutat,Yakutat,AK,59.28,139.11,,
137,Sockeye,Situk,,,WC,Yakutat,Yakutat,AK,59.45,139.62,,Stock-recruit analysis using brood years 1976 to 1997
138,Sockeye,Copper,8/23/17,8/23/17,GOA,PWS,PWS,AK,60.46,144.96,2,"Used the ""Wild_BY_Return"" worksheet.  Hatchery component of the run was removed by subtracting hatchery salmon post season and assuming age composition matches that of hatchery fish; upper and lower river values combined because runs not identified in harvests. With wild vs. hatchery, and delta vs. upriver components, the Copper River can get really complicated. Also, the Miles Lake sonar cannot distinguish between various species. Thus, Chinook salmon are subtracted from the sonar counts post-season, as are estimates of fish harvest upriver in personal use and subsistence fisheries."
139,Sockeye,Coghill,8/22/17,8/22/17,GOA,PWS,PWS,AK,61.06,147.94,2,"Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis."
140,Sockeye,Eshamy,8/22/17,8/22/17,GOA,PWS,PWS,AK,60.47,147.94,2,"the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns."
141,Sockeye,Kenai,8/22/17,9/7/17,GOA,Cook Inlet,Upper Cook Inlet,AK,60.54,151.28,6,Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)
142,Sockeye,Kasilof,8/22/17,9/7/17,GOA,Cook Inlet,Upper Cook Inlet,AK,60.39,151.3,6,Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)
143,Sockeye,Crescent,,,GOA,Cook Inlet,Upper Cook Inlet,AK,60.19,152.66,,
144,Sockeye,Frazer,8/26/17,9/7/17,GOA,Kodiak,Kodiak,AK,57.13,154.04,5,
145,Sockeye,Ayakulik,8/26/17,9/7/17,GOA,Kodiak,Kodiak,AK,57.2,154.54,5,
146,Sockeye,Early Upper Station,8/26/17,9/7/17,GOA,Kodiak,Kodiak,AK,57.06,154.36,5,Early run
147,Sockeye,Late Upper Station,8/26/17,9/7/17,GOA,Kodiak,Kodiak,AK,57.06,154.36,5,Late run
148,Sockeye,Afognak,,,GOA,Kodiak,Kodiak,AK,58.07,152.78,,
149,Sockeye,Early Karluk,8/26/17,9/7/17,GOA,Kodiak,Kodiak,AK,57.57,154.45,5,Smolts enter ocean at BY+3 or BY+4
150,Sockeye,Late Karluk,8/26/17,9/7/17,GOA,Kodiak,Kodiak,AK,57.57,154.45,5,Smolts enter ocean at BY+3 or BY+4
151,Sockeye,Black Lake,8/26/17,9/6/17,GOA,Chignik,Chignik,AK,56.28,158.64,5,Chignik River Early Run
152,Sockeye,Chignik Lake,8/26/17,9/12/17,GOA,Chignik,Chignik,AK,56.28,158.64,5,Chignik River Late Run
153,Sockeye,Nelson,8/26/17,9/6/17,BS,AK Peninsula,AK Peninsula,AK,55.96,161.28,5,
154,Sockeye,Bear,8/26/17,9/6/17,BS,AK Peninsula,AK Peninsula,AK,56.16,160.45,5,Late run
155,Sockeye,Ugashik,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay South,AK,57.5,157.6,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
156,Sockeye,Egegik,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay South,AK,58.25,157.38,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
157,Sockeye,Naknek,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay South,AK,58.78,157.08,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
158,Sockeye,Alagnak,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay South,AK,58.85,158.5,3,"Poor quality data, suggest do not use"
159,Sockeye,Kvichak,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay South,AK,58.85,157.03,3,1980 escapement reduced by 5 million because they died in high water at the falls (G. Ruggerone)
160,Sockeye,Nushagak,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay North,AK,58.82,158.49,3,Excluded Nushagak before 1985 because escapement based on aerial surveys rather than sonar.  Sonar chnaged from Bendix to Didson in recenct years but some standardization.
161,Sockeye,Wood,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay North,AK,58.82,158.62,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
162,Sockeye,Igushik,Dec-16,9/12/17,BS,Bristol Bay,Bristol Bay North,AK,58.68,158.8,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
163,Sockeye,Togiak,Dec-16,9/13/17,BS,Bristol Bay,Bristol Bay North,AK,58.95,160.45,11,
164,Sockeye,Goodnews,22-Aug-17,9/6/17,BS,AYK,AYK,AK,59.11,161.62,7,"Middle Fork of Goodnews River was provided to Rich Brenner by Zachary Liller, ADF&G Research Coordinator for AYK (Division of Commercial Fisheries), on 22 August 2017."
165,Sockeye,Early Russian River,6-Sep-17,,GOA,Cook Inlet,Upper Cook Inlet,AK,60.54,151.28,,Early component within Kenai River. Age classes not broken out into freshwater and ocean ages - not sure how to incorporate into database
166,Sockeye,Osoyoos,Sep-17,,WC,Columbia R,Columbia R,BC,,,10,Excluded because hatchery stocking in recent years and changing water and hydropower management likely influenced productivity.  See Kim Hyatt note to Jim Irvine
167,Sockeye,Alastair,Sep-17,,WC,BC North,BC North,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
168,Sockeye,Awun,Sep-17,,WC,BC North,BC North,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
169,Sockeye,Babine-Early-Wild,Sep-17,,WC,BC North,BC North,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
170,Sockeye,Babine-Fulton,Sep-17,,WC,BC North,BC North,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
171,Sockeye,Babine-Late-Wild,Sep-17,,WC,BC North,BC North,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
172,Sockeye,Babine-Mid-Wild,Sep-17,,WC,BC North,BC North,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
173,Sockeye,Babine-Pinkut,Sep-17,,WC,BC North,BC North,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
174,Sockeye,Bloomfield,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
175,Sockeye,Canoona,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
176,Sockeye,Devon,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
177,Sockeye,Evelyn,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
178,Sockeye,Damshilgwit,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
179,Sockeye,Damdochax,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
180,Sockeye,Curtis Inlet,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
181,Sockeye,Bear- BC,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
182,Sockeye,Fred Wright,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
183,Sockeye,Freeda,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
184,Sockeye,Hartley Bay,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
185,Sockeye,Johnston,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
186,Sockeye,Kadjusdis River,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
187,Sockeye,Kainet Creek,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
188,Sockeye,Keecha,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
189,Sockeye,Kitlope,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
190,Sockeye,Kitsumkalum,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
191,Sockeye,Kitwancool,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
192,Sockeye,Koeye,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
193,Sockeye,Kooryet,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
194,Sockeye,Kwakwa Creek,Sep-17,,WC,,,BC,,,8,Brendan suggests do not use data: assumed fixed age; wit for new data
