year,sst_winter,sst_spring,sst_summer,GoAmld_winter,GoAmld_spring,GoAmld_summer,Amld_winter,Amld_spring,Amld_summer
1951,-1.14699,-0.20636,0.75866,-19.15253,-16.50029,-7.48714,2.94782,-4.98167,-2.07444
1952,0.42167,0.00623,-0.39232,2.72653,16.00174,1.1592,-12.41355,-13.48622,-2.18126
1953,-0.64999,-0.23786,-0.21661,-2.01127,-2.8011,-1.02983,8.00577,-0.69531,-3.2608
1954,-0.49745,-0.6825,-0.85118,18.20926,18.54646,10.27099,12.14668,9.56378,0.08011
1955,0.29413,-0.01588,-0.22621,5.35763,8.25377,4.97424,-7.56014,-22.11576,-0.60853
1956,-0.34575,-0.1921,-0.06283,9.18385,2.50581,3.87668,-30.60332,-24.52485,-0.59035
1957,0.37211,0.79281,0.4605,8.08019,5.47125,3.61651,-23.73741,-29.05213,0.98465
1958,0.84654,0.86842,0.64533,1.9369,-6.982,-4.47292,-9.49082,-6.58167,3.40056
1959,-0.00578,0.07211,-0.03242,5.08019,-9.67102,3.00472,-1.38514,6.58424,2.24147
1960,-0.28349,-0.26875,-0.38182,-1.66981,14.35134,1.11855,24.26486,16.32969,0.16647
1961,-0.53041,-0.02873,0.11777,6.18588,-2.15476,-0.72088,9.18191,1.84333,-1.79944
1962,0.2627,0.12059,0.16399,-4.06412,2.60134,0.79944,-22.98514,-4.55667,-2.39944
1963,0.39328,0.56611,0.3239,-6.18099,4.03426,3.33196,-16.85787,-13.13849,3.85738
1964,-0.21507,-0.29424,0.11033,3.41759,13.59524,-0.14365,5.43645,11.46378,-0.77444
1965,-0.13628,0.10877,-0.4753,5.09544,10.99971,5.54131,-33.33968,-26.70667,-0.97444
1966,0.0291,-0.0633,-0.04293,18.51515,14.16841,-0.2595,4.88986,13.44333,1.70056
1967,-0.41128,0.09761,0.25723,15.37796,6.42044,-3.92617,32.35463,10.25015,0.86647
1968,0.0081,0.13716,0.18018,9.79056,3.1928,-2.61316,10.7285,31.45015,-1.62444
1969,-0.38686,-0.53766,-0.2331,15.4684,14.10743,-1.1721,17.99441,24.47515,-1.36308
1970,-0.32969,-0.48708,-0.85212,0.40235,6.69483,6.93765,-30.24537,-2.4044,-1.16308
1971,-0.0735,-0.43489,-0.19253,4.4369,10.46922,1.63277,-7.90446,5.79106,-1.49489
1972,-0.34538,-0.48155,-0.51325,14.40235,4.51394,-3.46885,13.93532,-1.09076,10.97329
1973,-0.18722,-0.2816,-0.6908,-3.81208,5.03426,9.46204,19.76486,12.6206,3.73238
1974,-0.37955,-0.16184,-0.24822,10.35052,8.90012,3.80147,1.49782,6.93651,1.45738
1975,-0.42915,-0.63451,-0.6874,7.68588,0.62166,3.11245,10.99327,12.08878,1.00511
1976,-0.60177,-0.64882,-0.61686,4.6371,5.56069,-1.1091,15.36145,11.20242,2.22102
1977,-0.39677,-0.34728,0.12944,-4.55091,-10.07753,-4.93227,23.22963,-19.3794,-1.26762
1978,-0.14996,-0.33034,-0.01936,5.77836,7.47125,-2.4404,2.20691,17.65924,2.13465
1979,0.31049,0.32916,1.03204,0.31393,-12.75232,-0.94853,-10.66128,1.33424,-7.7858
1980,-0.3188,-0.54844,0.24842,10.0619,17.33711,-4.40381,-11.65787,-0.89531,-3.66535
1981,-0.02177,-0.00073,0.23435,-10.48688,-14.82143,-2.2778,-6.52718,-13.77713,-2.06308
1982,0.00643,-0.10768,-0.47741,-5.18302,9.05052,-2.19853,-1.87264,-3.09076,6.31647
