"Stock","Stock.ID","region","ocean_1.prop","ocean_2.prop","(Intercept)","S","early_sst_stnd","np_pinks_stnd","early_sst_stnd:np_pinks_stnd","Ocean.Region","col","shape"
"Atnarko",125,"WC",0.953306501887696,0.0466934981123035,-0.127174448369223,-4.37244513383061e-08,-0.416147068997019,-0.0329665633182386,0.213686444416473,"WC","#00AB06FF",21
"Ayakulik",145,"GOA",0.332713360854291,0.667286639145709,0.972517973439215,-1.04852232581107e-06,0.0312660314372001,-0.0426795765120377,-0.168988952429038,"GOA","#DE732DFF",22
"Bear",154,"BS",0.142657597955618,0.857342402044382,2.16003059357286,-6.63513272085063e-06,0.23195052157675,0.0517016405743797,0.16587494360184,"BS","#00A0EDFF",24
"Birkenhead",115,"WC",0.97212633266447,0.0278736673355296,2.68341442011256,-8.16030911388778e-06,-0.0601367900248938,-0.346990231566207,0.030490357047077,"WC","#00AB06FF",21
"Black Lake",151,"GOA",0.653260738632584,0.346739261367416,1.38064006068724,-7.54597152659649e-07,0.118203002758239,0.0399365699788411,-0.162000393342951,"GOA","#DE732DFF",22
"Bowron",103,"WC",0.999614761939125,0.000385238060875285,2.47998304483062,-7.69512423868746e-05,-0.118507434396874,-0.340370818705829,-0.0401782008341663,"WC","#00AB06FF",21
"Chignik Lake",152,"GOA",0.326744743917032,0.673255256082968,2.08287608575611,-2.5331834700622e-06,-0.110621105396817,0.0390623773895199,-0.0681615523534091,"GOA","#DE732DFF",22
"Chilko",111,"WC",0.950196097789822,0.0498039022101777,2.71563194279376,-3.29959700321668e-06,-0.0623914388353081,-0.0789799604418623,0.0202511228771822,"WC","#00AB06FF",21
"Chilkoot",131,"WC",0.800499712616034,0.199500287383966,1.44331031984905,-1.0817689713144e-05,-0.122700558251486,-0.244072390022363,0.002182053082612,"WC","#00AB06FF",21
"Coghill",139,"GOA",0.891973332519374,0.108026667480626,1.74519224295915,-1.34941713801903e-05,0.242878252665974,-0.212057090359112,-0.00989623690083248,"GOA","#DE732DFF",22
"Copper",138,"GOA",0.89728135488704,0.10271864511296,1.92999090955372,-1.53845388593961e-06,0.148010474294933,0.111121558180245,-0.107362888869022,"GOA","#DE732DFF",22
"Cultus",116,"WC",0.997981802923868,0.00201819707613193,2.10719274712948,-4.3101155136821e-05,-0.134315359677637,0.00832406723699305,-0.154178843444367,"WC","#00AB06FF",21
"Early Karluk",149,"GOA",0.085671006740028,0.914328993259972,2.00665490512399,-6.20877749808106e-06,0.341534903428777,-0.249445372418216,0.0598467335276713,"GOA","#DE732DFF",22
"Early Stuart",102,"WC",0.998904745085446,0.00109525491455442,1.90461221144999,-6.01429268944976e-08,-0.228993552941294,-0.451852216162549,0.0685031171962985,"WC","#00AB06FF",21
"Early Upper Station",146,"GOA",0.292521698386681,0.707478301613319,1.08133046569302,-8.26938581993181e-06,0.118012789019395,-0.0608707062124165,-0.141761892896302,"GOA","#DE732DFF",22
"Egegik",156,"BS",0.227743387626019,0.772256612373981,1.965813847245,-3.55323344593567e-07,0.148281749646958,0.255391244314386,-0.071651963639658,"BS","#00A0EDFF",24
"Eshamy",140,"GOA",0.770534260375426,0.229465739624573,2.03905496267951,-1.70078209090025e-05,0.235895662749845,0.043629905668636,-0.636267263569712,"GOA","#DE732DFF",22
"Fennell",104,"WC",0.945283121603352,0.0547168783966482,3.03724088085572,-0.000188319766506204,0.0409178707622453,-0.378152854698836,0.114252324263839,"WC","#00AB06FF",21
"Frazer",144,"GOA",0.263587207420406,0.736412792579594,1.76124088093968,-5.93198098879438e-06,0.00741984177965878,0.161323549524408,-0.0278640398184382,"GOA","#DE732DFF",22
"Gates",105,"WC",0.996686436807045,0.00331356319295451,2.89445949955511,-5.21043495653145e-05,-0.269871147406085,-0.337531477565677,-0.252589765698504,"WC","#00AB06FF",21
"Goodnews",164,"BS",0.909843773874477,0.0901562261255229,1.21037872006093,-1.98960598800082e-05,0.243285772035889,0.102284683055158,0.0161802716944229,"BS","#00A0EDFF",24
"Igushik",162,"BS",0.901190322291586,0.0988096777084141,1.39843568176576,-1.75152478000803e-06,0.180105568061801,0.0370093505635853,-0.00978876153501618,"BS","#00A0EDFF",24
"Kasilof",142,"GOA",0.668013696335467,0.331986303664533,1.90005869649361,-2.69748254186838e-06,0.211125598261301,-0.0356289109151428,-0.075720308615934,"GOA","#DE732DFF",22
"Kenai",141,"GOA",0.723619865843546,0.276380134156454,1.68311019229204,-3.21606061122892e-07,-0.0077460936557335,-0.183860247789414,-0.0854486779602359,"GOA","#DE732DFF",22
"Kvichak",159,"BS",0.538113356649943,0.461886643350057,0.894456952742872,-3.26383665153105e-08,0.0592096091093564,0.0229336666574355,-0.165444394117543,"BS","#00A0EDFF",24
"Late Karluk",150,"GOA",0.0332472773133074,0.966752722686693,1.41021828302412,-2.00781619308189e-06,0.151990136693442,-0.375461060035908,0.0716847949949083,"GOA","#DE732DFF",22
"Late Shuswap",118,"WC",0.976288376041223,0.0237116239587773,2.21688094574499,-2.51603489372508e-07,-0.448705247220847,0.11866449642611,-0.163238201542419,"WC","#00AB06FF",21
"Late Stuart",112,"WC",0.999847974273395,0.000152025726605285,2.48870913677149,-2.18443251519786e-06,0.0282119480422544,-0.455168450056643,-0.0604836231716283,"WC","#00AB06FF",21
"Late Upper Station",147,"GOA",0.305235995740717,0.694764004259283,1.18457286161266,-1.57174702170169e-06,0.163329353121571,-0.234404861311251,-0.0466332684359667,"GOA","#DE732DFF",22
"Nadina",106,"WC",0.998356612031803,0.00164338796819687,2.12863060105556,-1.07431143542718e-05,0.0873518352110646,-0.309449331572771,-0.141905442933729,"WC","#00AB06FF",21
"Naknek",157,"BS",0.600321469252763,0.399678530747237,1.65152654953997,-4.1569762854858e-07,0.239928886048824,0.0486036280684929,-0.0400168625680778,"BS","#00A0EDFF",24
"Nass (Meziadin)",127,"WC",0.340595588326056,0.659404411673944,2.05225004781837,-5.06121208925879e-06,0.101490380068269,0.0296569274647522,0.0362849941182691,"WC","#00AB06FF",21
"Nelson",153,"BS",0.31242259740285,0.68757740259715,1.90048751830563,-5.33791775181366e-06,0.220520968534061,-0.0806842825342203,0.0594662177150509,"BS","#00A0EDFF",24
"Nushagak",160,"BS",0.97532569117492,0.0246743088250803,1.65826104375911,-1.06866237972817e-06,0.346911393774068,-0.199653448673601,-0.0713857304443319,"BS","#00A0EDFF",24
"Owikeno",124,"WC",0.984010487200045,0.0159895127999551,0.287580160257672,-2.91176491841033e-06,-0.491243563021496,-0.244667825048032,0.13220273302149,"WC","#00AB06FF",21
"Pitt",107,"WC",0.992141658096296,0.00785834190370366,2.195015491899,-3.89014898559347e-05,-0.0101786961676671,-0.285588399176825,0.0414377254964439,"WC","#00AB06FF",21
"Portage",119,"WC",0.984114455421899,0.0158855445781009,3.42069536499223,-0.000172742972239723,0.12357414225441,-0.340684781100447,0.00993541356850482,"WC","#00AB06FF",21
